+------------------------+---------------+-------+
|          city          |     type      | total |
| Truro                  | Public School | 1     |
| Vineyard Haven         | Public School | 1     |
| Wales                  | Public School | 1     |
| Wellfleet              | Public School | 1     |
| Wenham                 | Public School | 1     |
| West Barnstable        | Public School | 1     |
| West Brookfield        | Public School | 1     |
| West Dennis            | Public School | 1     |
| West Tisbury           | Public School | 1     |
| West Warren            | Public School | 1     |
| West Yarmouth          | Public School | 1     |
| Whately                | Public School | 1     |
| Williamsburg           | Public School | 1     |
| Worthington            | Public School | 1     |
+------------------------+---------------+-------+
